取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
long,2017/11/07,2385,100,2320,2017/11/09,2326,-5900,-0.9076923076923077,-2.4737945492662474,3
long,2017/11/10,2229,100,2163,2017/11/15,2168,-6100,-0.9242424242424242,-2.736653207716465,4
short,2017/12/12,2440,100,2478,2017/12/13,2477,-3700,-0.9736842105263158,-1.5163934426229508,2
short,2017/12/14,2500,100,2538,2017/12/22,2533,-3300,-0.868421052631579,-1.32,7
long,2018/05/02,3700,100,3465,2018/05/10,3230,-47000,-2.0,-12.702702702702704,5
short,2018/07/02,3040,100,3125,2018/07/02,3125,-8500,-1.0,-2.7960526315789473,1
short,2018/07/03,3080,100,3175,2018/07/03,3175,-9500,-1.0,-3.0844155844155843,1
short,2018/07/04,3210,100,3310,2018/07/06,2952,25800,2.58,8.037383177570094,3
short,2018/08/28,2940,100,3050,2018/08/30,2836,10400,0.9454545454545454,3.537414965986395,3
long,2019/03/26,2163,100,2096,2019/03/27,2224,6100,0.9104477611940298,2.820157189089228,2
